brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
103792,for_sale,185000,4,1,0.18,1543821,Dallas,Texas,75217,1526,4/23/1988
109950,for_sale,270000,4,2,,1108659,Dallas,Texas,75210,1697,
48780,for_sale,200000,3,1,0.06,811433,Dallas,Texas,75215,936,
109950,for_sale,184900,2,2,0.2,287545,Dallas,Texas,75216,990,
47018,for_sale,140000,2,2,0.19,802045,Dallas,Texas,75215,912,8/9/2004
71539,for_sale,279000,3,2,0.46,426306,Dallas,Texas,75216,1752,2/23/2006
16977,for_sale,314900,2,2,0.16,900638,Dallas,Texas,75211,1170,
103237,for_sale,59000,,,0.1,1018636,Dallas,Texas,75223,,
71247,for_sale,218000,3,1,0.24,1488505,Dallas,Texas,75227,1263,6/15/2010
18076,for_sale,565000,4,4,0.21,1264330,Dallas,Texas,75246,3470,
59525,for_sale,399900,3,2,0.17,1144097,Dallas,Texas,75223,1904,7/20/2021
53079,for_sale,280000,3,2,0.19,866671,Dallas,Texas,75228,1452,
97727,for_sale,1500000,3,4,0.62,1263688,Dallas,Texas,75205,3220,12/28/2017
97818,for_sale,615000,3,4,0.01,1262167,Dallas,Texas,75219,2019,
71247,for_sale,284000,3,1,0.19,122746,Dallas,Texas,75228,864,6/10/2020
52577,for_sale,135000,,,0.23,880010,Dallas,Texas,75233,,
86907,for_sale,175000,,,0.2,224087,Dallas,Texas,75208,,
109950,for_sale,215000,3,2,,1110482,Dallas,Texas,75210,1436,
65878,for_sale,240000,3,1,0.15,994665,Dallas,Texas,75224,1090,
9616,for_sale,620000,2,1,0.2,1594132,Dallas,Texas,75214,992,1/12/2007
22611,for_sale,398900,3,2,0.32,773085,Dallas,Texas,75233,1768,5/25/2021
9663,for_sale,295000,3,2,0.19,1264142,Dallas,Texas,75211,1482,3/28/2022
45016,for_sale,217990,3,2,0.16,833819,Dallas,Texas,75210,1090,
15807,for_sale,45000,,,0.09,931297,Dallas,Texas,75215,,
82726,for_sale,60000,,,0.17,457279,Dallas,Texas,75203,,2/27/2017
48267,for_sale,325000,,,0.09,405627,Dallas,Texas,75204,,
45016,for_sale,225490,3,2,0.12,834730,Dallas,Texas,75215,1028,
102461,for_sale,72500,,,0.17,1092011,Dallas,Texas,75210,,
45016,for_sale,248323,3,2,0.17,1288092,Dallas,Texas,75216,1298,
97709,for_sale,699000,,,0.21,707595,Dallas,Texas,75204,,
109950,for_sale,265000,4,3,0.09,1287944,Dallas,Texas,75223,1510,
71247,for_sale,261000,3,2,0.15,72255,Dallas,Texas,75227,1383,9/8/2005
65529,for_sale,405000,3,3,0.18,966850,Dallas,Texas,75208,1912,8/22/2008
22611,for_sale,500000,4,3,0.29,886088,Dallas,Texas,75211,2510,
27412,for_sale,350000,4,2,0.15,1788068,Dallas,Texas,75203,1714,9/4/2001
22611,for_sale,239900,1,1,3.16,1119732,Dallas,Texas,75219,863,12/5/2007
33714,for_sale,105000,,,0.14,147503,Dallas,Texas,75203,,8/16/2016
71247,for_sale,370000,3,3,0.21,856598,Dallas,Texas,75228,2182,7/25/2006
23665,for_sale,549000,3,3,0.17,742790,Dallas,Texas,75219,2242,
23665,for_sale,549000,3,3,0.17,742153,Dallas,Texas,75219,2242,
97727,for_sale,350000,,,0.17,1606877,Dallas,Texas,75208,,
109950,for_sale,269900,4,2,0.18,1013381,Dallas,Texas,75215,1517,
109950,for_sale,269900,4,2,0.14,1074647,Dallas,Texas,75210,1517,
97818,for_sale,441900,2,3,0.01,1264803,Dallas,Texas,75219,1466,
109950,for_sale,269900,4,3,0.19,1020016,Dallas,Texas,75215,1510,
109950,for_sale,265000,4,3,0.18,1017847,Dallas,Texas,75215,1510,
22695,for_sale,1050000,,,0.6,1731162,Dallas,Texas,75218,,7/29/1988
97918,for_sale,425000,4,3,0.24,102587,Dallas,Texas,75218,2802,10/15/2018
66933,for_sale,29999,,,0.17,769695,Dallas,Texas,75212,,1/20/2022
66933,for_sale,29999,,,0.17,771803,Dallas,Texas,75212,,1/20/2022
97747,for_sale,230000,3,2,0.14,88097,Dallas,Texas,75217,1185,2/16/2022
71247,for_sale,221000,2,1,0.12,851868,Dallas,Texas,75211,816,7/11/2000
40311,for_sale,259500,1,1,1.34,1091135,Dallas,Texas,75219,1025,6/2/2000
98902,for_sale,99900,,,0.15,1108238,Dallas,Texas,75212,,
48832,for_sale,70000,,,0.23,738247,Dallas,Texas,75215,,
53525,for_sale,1500000,3,4,31.45,971478,Dallas,Texas,75253,4220,
42317,for_sale,579500,3,1,0.19,902175,Dallas,Texas,75219,1849,
71247,for_sale,277000,4,1,0.17,42509,Dallas,Texas,75211,1300,6/13/2000
23665,for_sale,439000,2,1,0.19,1195730,Dallas,Texas,75206,1462,3/2/2022
102816,for_sale,211000,3,2,0.2,1654307,Dallas,Texas,75217,1155,2/28/2022
45664,for_sale,114499,3,1,0.13,877061,Dallas,Texas,75215,888,12/12/2000
3238,for_sale,99900,3,1,0.13,1078997,Dallas,Texas,75215,1178,
448,for_sale,375000,3,2,0.11,404324,Dallas,Texas,75204,1940,
74414,for_sale,199000,3,2,0.09,1275492,Dallas,Texas,75210,1287,4/30/2010
78465,for_sale,220000,2,1,0.17,96117,Dallas,Texas,75228,856,4/11/1997
30888,for_sale,235000,3,2,0.2,906385,Dallas,Texas,75228,1288,
12488,for_sale,230000,3,2,0.17,314123,Dallas,Texas,75217,1299,
22611,for_sale,220000,3,2,0.19,1727547,Dallas,Texas,75227,1722,
45016,for_sale,217990,3,2,0.09,1096220,Dallas,Texas,75215,1090,
59525,for_sale,479000,3,3,0.18,134822,Dallas,Texas,75208,2304,2/23/2021
53157,for_sale,1050000,4,2,0.29,1554785,Dallas,Texas,75214,2340,4/3/2019
82444,for_sale,549900,3,3,0.17,1587581,Dallas,Texas,75208,2000,6/10/2021
97954,for_sale,50000,,,0.06,1060818,Dallas,Texas,75210,,8/26/2015
33843,for_sale,8000000,2,3,0.33,1196730,Dallas,Texas,75204,25200,11/9/2017
71247,for_sale,385000,3,2,0.2,1575036,Dallas,Texas,75227,1955,9/12/2017
1764,for_sale,455000,3,3,0.75,134764,Dallas,Texas,75215,1854,4/16/2021
41897,for_sale,450000,3,2,0.2,715680,Dallas,Texas,75219,810,
23665,for_sale,1590000,3,4,0.05,1026341,Dallas,Texas,75204,4450,9/22/2010
37175,for_sale,169000,2,1,0.27,1625149,Dallas,Texas,75216,811,12/2/2019
47170,for_sale,130000,,,0.39,877730,Dallas,Texas,75227,,
38256,for_sale,439000,3,2,0.23,752510,Dallas,Texas,75228,2221,8/22/2018
51525,for_sale,325000,6,3,0.11,1708950,Dallas,Texas,75203,2454,
